IGBP iq    i     j    rlong      rlat  iveg frac-c4
   497    17    11    209.23    -60.71   0  0.00
   498    18    11    205.87    -61.53   0  0.00
   499    19    11    202.32    -62.25   0  0.00
   500    20    11    198.57    -62.87   0  0.00
   501    21    11    194.64    -63.38   0  0.00
   502    22    11    190.57    -63.77   0  0.00
   503    23    11    186.39    -64.03   0  0.00
   504    24    11    182.14    -64.17   0  0.00
   505    25    11    177.86    -64.17   0  0.00
   506    26    11    173.61    -64.03   0  0.00
   507    27    11    169.43    -63.77   0  0.00
   508    28    11    165.36    -63.38   0  0.00
   509    29    11    161.43    -62.87   0  0.00
   510    30    11    157.68    -62.25   0  0.00
   511    31    11    154.13    -61.53   0  0.00
   512    32    11    150.77    -60.71   0  0.00
   513    33    11    147.63    -59.81   0  0.00
   514    34    11    144.71    -58.84   0  0.00
   515    35    11    141.99    -57.81   0  0.00
   516    36    11    139.47    -56.72   0  0.00
   517    37    11    137.14    -55.58   0  0.00
   518    38    11    135.00    -54.41   0  0.00
   519    39    11    133.03    -53.19   0  0.00
   520    40    11    131.22    -51.95   0  0.00
   521    41    11    129.57    -50.69   0  0.00
   522    42    11    128.06    -49.39   0  0.00
   523    43    11    126.68    -48.08   0  0.00
   524    44    11    125.43    -46.76   0  0.00
   525    45    11    124.30    -45.41   0  0.00
   526    46    11    123.28    -44.04   0  0.00
   527    47    11    122.36    -42.66   0  0.00
   528    48    11    121.54    -41.26   0  0.00
   529     1    12    240.38    -41.84   0  0.00
   530     2    12    239.58    -43.29   0  0.00
   531     3    12    238.68    -44.73   0  0.00
   532     4    12    237.68    -46.15   0  0.00
   533     5    12    236.58    -47.56   0  0.00
   534     6    12    235.36    -48.94   0  0.00
   535     7    12    234.01    -50.32   0  0.00
   536     8    12    232.52    -51.67   0  0.00
   537     9    12    230.89    -53.00   0  0.00
   538    10    12    229.10    -54.31   0  0.00
   539    11    12    227.14    -55.58   0  0.00
   540    12    12    225.00    -56.83   0  0.00
   541    13    12    222.66    -58.03   0  0.00
   542    14    12    220.11    -59.19   0  0.00
   543    15    12    217.34    -60.29   0  0.00
   544    16    12    214.34    -61.33   0  0.00
   545    17    12    211.09    -62.29   0  0.00
   546    18    12    207.60    -63.17   0  0.00
   547    19    12    203.86    -63.94   0  0.00
   548    20    12    199.90    -64.62   0  0.00
   549    21    12    195.73    -65.17   0  0.00
   550    22    12    191.37    -65.60   0  0.00
   551    23    12    186.88    -65.89   0  0.00
   552    24    12    182.30    -66.03   0  0.00
   553    25    12    177.70    -66.03   0  0.00
   554    26    12    173.12    -65.89   0  0.00
   555    27    12    168.63    -65.60   0  0.00
   556    28    12    164.27    -65.17   0  0.00
   557    29    12    160.10    -64.62   0  0.00
   558    30    12    156.14    -63.94   0  0.00
   559    31    12    152.40    -63.17   0  0.00
   560    32    12    148.91    -62.29   0  0.00
   561    33    12    145.66    -61.33   0  0.00
   562    34    12    142.66    -60.29   0  0.00
   563    35    12    139.89    -59.19   0  0.00
   564    36    12    137.34    -58.03   0  0.00
   565    37    12    135.00    -56.83   0  0.00
   566    38    12    132.86    -55.58   0  0.00
   567    39    12    130.90    -54.31   0  0.00
   568    40    12    129.11    -53.00   0  0.00
   569    41    12    127.48    -51.67   0  0.00
   570    42    12    125.99    -50.32   0  0.00
   571    43    12    124.64    -48.94   0  0.00
   572    44    12    123.42    -47.56   0  0.00
   573    45    12    122.32    -46.15   0  0.00
   574    46    12    121.32    -44.73   0  0.00
   575    47    12    120.42    -43.29   0  0.00
   576    48    12    119.62    -41.84   0  0.00
   577     1    13    242.39    -42.39   0  0.00
   578     2    13    241.61    -43.90   0  0.00
   579     3    13    240.74    -45.39   0  0.00
   580     4    13    239.78    -46.86   0  0.00
   581     5    13    238.71    -48.32   0  0.00
   582     6    13    237.52    -49.77   0  0.00
   583     7    13    236.21    -51.20   0  0.00
   584     8    13    234.76    -52.61   0  0.00
   585     9    13    233.16    -54.01   0  0.00
   586    10    13    231.40    -55.38   0  0.00
   587    11    13    229.47    -56.72   0  0.00
   588    12    13    227.34    -58.03   0  0.00
